Colony,Date,Survey.Start,Survey.End,Sparrow,Hedge,Grass,Tree,Roof,Artificial.Surface,Bush,Bird.Feeder,Colony.Size,DistHdg,DistRf,Aflag
Bearsden 2,12/10/17,09:00,12:00,0,0,0,1,0,0,0,0,0,-0.152673344,0.237919873,1
Bearsden 2,12/10/17,09:00,12:00,0,0,1,0,0,0,0,0,0,-0.007037607,-0.378178856,1
Bearsden 2,12/10/17,09:00,12:00,0,0.3,0,0,0,0,0.7,0,0,0.021718494,-1.204185095,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0,0,1,0,0,0,0,0.220228352,-0.946341975,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0,0,1,0,0,0,0,0.276812937,-0.198546466,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0.8,0,0,0,0.2,0,0,0.381633563,-0.142032905,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0,0,1,0,0,0,0,0.445639078,0.047186606,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0.7,0.3,0,0,0,0,0,0.505006512,0.855027773,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0,0,1,0,0,0,0,0.760100956,0.226818995,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0,0,1,0,0,0,0,0.812975077,-0.51693983,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0,0,1,0,0,0,0,1.087549459,-0.185427247,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0,1,0,0,0,0,0,1.160831136,0.405442214,1
Bearsden 3,27/10/17,11:00,12:00,1,1,0,0,0,0,0,0,7,-1.148933098,2.173004742,0
Bearsden 3,27/10/17,11:00,12:00,1,1,0,0,0,0,0,0,7,-1.148933098,2.173004742,0
Bearsden 3,27/10/17,11:00,12:00,1,1,0,0,0,0,0,0,7,-1.148933098,2.173004742,0
Bearsden 3,27/10/17,11:00,12:00,1,0.7,0.3,0,0,0,0,0,7,-1.148933098,1.6366305,0
Bearsden 3,27/10/17,11:00,12:00,1,0.7,0.3,0,0,0,0,0,7,-1.148933098,1.6366305,0
Bearsden 3,27/10/17,11:00,12:00,1,0,0,0,1,0,0,0,7,-0.048780334,2.447499179,0
Bearsden 3,27/10/17,11:00,12:00,1,0,0,0,1,0,0,0,7,-0.048780334,2.447499179,0
Bearsden 3,27/10/17,11:00,12:00,1,0.1,0,0,0,0.9,0,0,7,0.101493483,-0.88478256,0
Bearsden 3,27/10/17,11:00,12:00,1,0.1,0,0,0,0.9,0,0,7,0.101493483,-0.88478256,0
Bearsden 3,27/10/17,11:00,12:00,1,0.8,0,0,0,0,0.2,0,7,-1.148933098,1.90658367,0
Bearsden 3,27/10/17,11:00,12:00,1,0.8,0,0,0,0,0.2,0,7,-1.148933098,1.90658367,0
Bearsden 3,27/10/17,11:00,12:00,1,1,0,0,0,0,0,0,7,-1.148933098,1.48323655,0
Bearsden 3,27/10/17,11:00,12:00,1,0,0,1,0,0,0,0,7,-0.920739523,0.846449821,0
Bearsden 3,27/10/17,11:00,12:00,1,0,1,0,0,0,0,0,7,-0.857661624,0.915578016,0
Bearsden 3,27/10/17,11:00,12:00,1,0,0,1,0,0,0,0,7,-0.702749726,-0.354463343,0
Bearsden 3,27/10/17,11:00,12:00,1,0,0,0,1,0,0,0,7,-0.53763405,-0.999828023,0
Bearsden 3,27/10/17,11:00,12:00,1,0,0,0,0,1,0,0,7,-0.468062838,2.598874788,0
Bearsden 3,27/10/17,11:00,12:00,1,0,0.1,0,0,0.9,0,0,7,-0.298309081,2.439930399,0
Bearsden 3,27/10/17,11:00,12:00,1,0,0,0,1,0,0,0,7,0.057895524,1.304613331,0
Bearsden 3,27/10/17,11:00,12:00,1,0,0,0,0,1,0,0,7,0.669194572,0.382735872,0
Bearsden 3,27/10/17,11:00,12:00,0,0.8,0,0,0,0.2,0,0,0,-1.148933098,0.260121629,1
Bearsden 3,27/10/17,11:00,12:00,0,0,0,1,0,0,0,0,0,-1.148933098,-0.250014173,1
Bearsden 3,27/10/17,11:00,12:00,0,0.3,0.6,0,0,0,0.1,0,0,-1.00608021,-0.383224709,1
Bearsden 3,27/10/17,11:00,12:00,0,0,1,0,0,0,0,0,0,-0.982889806,0.253562019,1
Bearsden 3,27/10/17,11:00,12:00,0,0,1,0,0,0,0,0,0,-0.93836423,-0.181895149,1
Bearsden 3,27/10/17,11:00,12:00,0,0,1,0,0,0,0,0,0,-0.73799914,0.006819777,1
Bearsden 3,27/10/17,11:00,12:00,0,0,0,0,0,1,0,0,0,-0.678631706,2.153325912,1
Bearsden 3,27/10/17,11:00,12:00,0,0,0,0,1,0,0,0,0,-0.657296534,0.415533921,1
Bearsden 3,27/10/17,11:00,12:00,0,0,0,0,0,1,0,0,0,-0.63410613,0.025994021,1
Bearsden 3,27/10/17,11:00,12:00,0,0,0,0,1,0,0,0,0,-0.574738696,1.058375674,1
Bearsden 3,27/10/17,11:00,12:00,0,0,1,0,0,0,0,0,0,-0.500529403,1.180989917,1
Bearsden 3,27/10/17,11:00,12:00,0,0,0,0,0,1,0,0,0,-0.406840171,1.859657231,1
Bearsden 3,27/10/17,11:00,12:00,0,0,0,0,0,1,0,0,0,-0.375301222,0.549753628,1
Bearsden 3,27/10/17,11:00,12:00,0,0,0,0,0,1,0,0,0,-0.360459363,1.148696454,1
Bearsden 3,27/10/17,11:00,12:00,0,0,0.4,0,0,0.6,0,0,0,-0.20925793,0.850486504,1
Bearsden 3,27/10/17,11:00,12:00,0,0,0,0,1,0,0,0,0,-0.157311425,2.562544642,1
Bearsden 3,27/10/17,11:00,12:00,0,0,0,0,0,1,0,0,0,-0.03764894,0.891862504,1
Bearsden 3,27/10/17,11:00,12:00,0,0,0,0,0,1,0,0,0,0.002238554,3.655981124,1
Bearsden 3,27/10/17,11:00,12:00,0,0,0,0,1,0,0,0,0,0.185906554,2.173509327,1
Bearsden 3,27/10/17,11:00,12:00,0,0,0.1,0,0,0.9,0,0,0,0.357515543,4.168135268,1
